day,timestamp,n,symbols,buyers,sellers
3,511800,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,516400,6,"HYDROGEL_PACK,VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 38","Mark 14,Mark 22"
3,524000,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,529600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,531500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,535400,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,535900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,547600,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 01,Mark 22"
3,551600,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,555100,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,556400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,565600,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,580600,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,583100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,584300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,612700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,614800,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,621000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,622500,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,624200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,627700,5,"VEV_5200,VEV_5300,VEV_5400,VEV_6000,VEV_6500",Mark 01,Mark 22
3,631300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,631500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,634500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,642500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,666500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,666700,3,"VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,671800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,671900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,678700,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,689900,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,699400,7,"HYDROGEL_PACK,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14","Mark 22,Mark 38"
3,700300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,705400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,708800,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,728500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,730000,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,741100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,753700,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,766900,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,777600,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,784100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,785100,5,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 14,Mark 22"
3,788300,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,793100,4,"VEV_5300,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,807400,5,"VELVETFRUIT_EXTRACT,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 55","Mark 14,Mark 22"
3,820200,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,826200,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,834400,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,837500,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,839800,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,842200,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,864100,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,868300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,877600,7,"VELVETFRUIT_EXTRACT,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 14,Mark 22"
3,878300,5,"VEV_5200,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,890900,6,"VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,894300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,918500,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,937000,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,937400,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,943900,6,"VELVETFRUIT_EXTRACT,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14,Mark 55","Mark 14,Mark 22"
3,977300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
3,983300,5,"VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500","Mark 01,Mark 14",Mark 22
3,997100,4,"VEV_5400,VEV_5500,VEV_6000,VEV_6500",Mark 01,Mark 22
